,Speech,Product
0,well said sonuyou courage stand dadagiri muslims,OAG
1,private banks atms like hdfc icici etc cash public sector banks atm working,NAG
2,question pakistan adhere,OAG
3,pakistan comprised fake muslims know meaning unity imposes thoughts othersall rascals gathered,OAG
4,r cow slaughter course stop leather manufacturing happens,NAG
5,wondering educated ambassador struggling pay credit debit decent restaurant cant imagine diplomat developed nation card needs cash dinner,CAG
6,inflation react shocks demon,NAG
7,good jobthis guis creating problem n socacity,CAG
8,false news indian media simply misguiding nation creating hatredmedia v careful spreading newsshame,NAG
9,permanent foes permanent friends interest permanent,NAG
10,deepak kumar sharma saabchalo aap ki ye baat ek baar mann linow whatever pm saab talked kya kya kia us mainhe campaigner bjp nothing else ek cheez bta implementing bills opposed  eample fdi gst list long,NAG
11,communist parties killed lacks opponents wb  years ruling,OAG
12,guys counter modi govt decisions fact black money cleanup stand taken many discussions news channel individuals meetings much efforts made media make people scared provoke,NAG
13,rss  time ban terrorist organization,OAG
14,acting watch option,NAG
15,happy diwalilets wish net one year health wealth n growth indian economy,NAG
16,lolz said gonna employ large number people cyber security sector gonna employ illiterates profile,NAG
17,funny stupid,OAG
18,absolutely deeper dive shallower cushion,CAG
19,brown sahib anti national leftist commies media muslim pandering hindu sickolars milked secularism worth render mere failed slogan sickolarism nothing continuation british policy divide rule rss opposed idea secularism absolutely used dagger heart hindus hinduism hindustan,CAG
20,nifty  day moving average net  day moving average ,NAG
21,good see terrror pak afgan india well development step,NAG
22,first gaurakshak assamthe villagers beaten two thievesthese things happen thieves try steal property farmers,NAG
23,aap dont need monsters like u,OAG
24,tht hv thn  flats  land legal rest surrender properties govt,CAG
25,upon time bengal kolkata prosperous states india compared bihar odisa wake mitra use knowledge help bengal rather delivering stupid lecture,NAG
26,oh pak army say porki hijada army whose country didnt ecepted bodies dickless coward army kargil war army submitted infront indian army  east pakistan became bangladeshand hijada army couldnt even save school childrens merciless killings indian forces really reached lahore ,OAG
27,would lone boss supporters shifts kejriwal,NAG
28,want get rid u indianswhy dont u hear loud cries,OAG
29, jio customers converted prime etended date,NAG
30,loot peoples mandate democracy,OAG
31,thing eyes judiciary terrorist accused eyes terrorist deserved killed ever keep bad eye nation killed without mercy,OAG
32,problem occur india countries,CAG
33,positional buy jpassociate every decline  target   time frame  years,NAG
34,government office implement online transactions also parties show account transaction running elections rti,CAG
35,dramebaaj anna kya bjp ki government aate hi lokpal bill aur lokpal bhool gaye baat karne mae sharm bhi nahi aatee,OAG
36,unfortunately wat indian govt capable doingi dint vote modiji see crap,CAG
37,coward like u backstab wait watch u forgot day  lakh porkis soldier freed india way r u indian news channel dont country channels,OAG
38,hi anuj brought divis days  tata motor dvr  target,NAG
39,people talk common man suffering timethis country thousands laid lives freedomcant common man endure little trouble stand queues greater good,CAG
40,visited  atm cont able withdraw moneynot working,CAG
41,know people nagalandand meghalaya hate bjpbut truth lok sabha seats  states cant stop bjpassam arunachal yes mattersbut states becoming strongholds bjp day dayincluding manipurtripuraand sikkim,NAG
42,modi ji pain n real gain,CAG
43,hell bjp political parties corrupt like anyone make money whomsoever may vote supporting naalites kill soldiers taking side jnu students shout bharat ke tukde katenge afzhal guru tere katil jinda hai recent nothing wrong chanting pakistan zhindabad attributed man hence decidedly antinational,CAG
44,mobbing poor girl instead helping jump conclusions impulsive,OAG
45,ohi get ithes saying screw bajaj making,OAG
46,udhav shown bjp place bravo shivsena,CAG
47,unebeivable atory time back india wrongly claiming surgical strikes pakistan claiming surgicam strike pakistan wrong,CAG
48,please advice bank nifty npa benefit psu banks,NAG
49,plz share ur view astec life bought ,NAG
50,use offensive defensive strategy doctrinelearn lessons israel give free hand security forces covert missions inside pak bleed pakistan,NAG
51,tollywood parbhas die heart fans parbhas acting bahubali  bahubali  graphics cartoon movie dont compare indian cinema bollywood movies khan acting aamir salman shahrukh acting,CAG
52,shame shame lowly called educated civilised popation pakistan claim pakistani army professional soldiers true professionals professional terrorists certainly soldiers india indians global world understanding recognising professional terrorists,OAG
53,india must prevent pak soldiers cross loc coming india stealthily cost purpose use bullets liberally time india also slap trade embargo pakistan urge convince us powerful nations introduce economic sanctions pakistan indefinite period terrorist state would brought knees,NAG
54,haram pigpig scavengersscavengers eat deadharm dead mutilationmutilation pakistanpakistan pig,OAG
55,hand reliance jio giving k  months subscription unlimited calling std roaming unlimited g means actual g speed oh wait etended plan  months  early customers airtel got lower g g rates  gb internet,NAG
56,mistry substantiate wrong tata sons tata counsel,NAG
